0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,19
1/1/2015,ANTIOQUIA,NECOCLÍ,Jueves,5:00:00,CGTO. EL TOTUMO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,41,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,PRIMARIA,5490000,,1
1/1/2015,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,Jueves,23:30:00,SECTOR TERMINAL,URBANA,LOTE BALDIO,ARMA DE FUEGO,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,ANALFABETA,5042000,,1
1/1/2015,ANTIOQUIA,SEGOVIA,Jueves,9:30:00,GALAN,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,5736000,,1
1/1/2015,ANTIOQUIA,TÁMESIS,Jueves,14:00:00,SAN PABLO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,-,PRIMARIA,5789000,,1
1/1/2015,ATLÁNTICO,BARRANQUILLA (CT),Jueves,20:00:00,POR FIN,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,8001000,,1
1/1/2015,ATLÁNTICO,BARRANQUILLA (CT),Jueves,6:00:00,REBOLO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,8001000,,1
1/1/2015,ATLÁNTICO,BARRANQUILLA (CT),Jueves,14:40:00,LAS AMERICAS,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,8001000,,1
1/1/2015,ATLÁNTICO,BARRANQUILLA (CT),Jueves,9:50:00,REBOLO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,39,FEMENINO,SOLTERO,COLOMBIA,COMERCIANTE,-,PRIMARIA,8001000,,1
1/1/2015,ATLÁNTICO,BARRANQUILLA (CT),Jueves,4:40:00,BARLOVENTO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,8001000,,1
1/1/2015,ATLÁNTICO,SOLEDAD,Jueves,8:30:00,LAS MORAS,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,8758000,,1
1/1/2015,BOLÍVAR,CARTAGENA (CT),Jueves,18:20:00,EL POZON,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,13001000,,1
1/1/2015,BOLÍVAR,CARTAGENA (CT),Jueves,7:50:00,OLAYA HERRERA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,13001000,,1
1/1/2015,BOLÍVAR,CARTAGENA (CT),Jueves,7:25:00,VIEJO PORVENIR,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,13001000,,1
1/1/2015,BOYACÁ,EL COCUY,Jueves,18:30:00,CENTRO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,15244000,,1
1/1/2015,CALDAS,MANIZALES (CT),Jueves,2:25:00,LINARES,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,17001000,,1
1/1/2015,CALDAS,MANZANARES,Jueves,6:30:00,VDA LA UNION,RURAL,TIENDA,ARMA DE FUEGO,A PIE,A PIE,32,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,-,PRIMARIA,17433000,,1
1/1/2015,CALDAS,NORCASIA,Jueves,1:20:00,CENTRO,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,38,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,17495000,,1
1/1/2015,CALDAS,VICTORIA,Jueves,22:30:00,CENTRO,URBANA,OFICINAS,CUERDA/SOGA/CADENA,A PIE,A PIE,50,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,-,PRIMARIA,17867000,,1
1/1/2015,CAQUETÁ,SAN JOSÉ DEL FRAGUA,Jueves,15:00:00,CENTRO,URBANA,DISCOTECAS,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,18610000,,1
1/1/2015,CAQUETÁ,SAN VICENTE DEL CAGUÁN,Jueves,0:30:00,SANTA ISABEL,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,42,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,18753000,,1
1/1/2015,CASANARE,TRINIDAD,Jueves,4:25:00,EL PALITO,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR MOTOCICLETA,A PIE,25,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,85430000,,1
1/1/2015,CAUCA,ALMAGUER,Jueves,15:00:00,VEREDA TARABITA,RURAL,RIOS,ARMA DE FUEGO,A PIE,A PIE,30,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,PRIMARIA,19022000,,1
1/1/2015,CAUCA,BOLÍVAR,Jueves,10:00:00,VDA GUAYABILLAS,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,42,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,19100000,,1
1/1/2015,CAUCA,CAJIBÍO,Jueves,11:30:00,VDA CAMPOALEGRE,RURAL,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,41,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,PRIMARIA,19130000,,1
1/1/2015,CAUCA,CALOTO,Jueves,21:00:00,VDA HUASANO,RURAL,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,35,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,-,PRIMARIA,19142000,,1
1/1/2015,CAUCA,EL TAMBO,Jueves,6:00:00,C/MIENTO PIAGUA,RURAL,CARRETERA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,19256000,,1
1/1/2015,CAUCA,PATÍA,Jueves,8:00:00,C/MIENTO PIEDRASENTADA,RURAL,CARRETERA,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,26,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO EJERCITO,-,SECUNDARIA,19532000,,1
1/1/2015,CAUCA,PATÍA,Jueves,8:00:00,C/MIENTO PIEDRASENTADA,RURAL,CARRETERA,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,38,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,PRIMARIA,19532000,,1
1/1/2015,CAUCA,PIAMONTE,Jueves,4:40:00,PIAMONTE,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,24,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,PRIMARIA,19533000,,1
1/1/2015,CAUCA,POPAYÁN (CT),Jueves,5:36:00,NUEVA ESPERANZA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,ANALFABETA,19001000,,1
1/1/2015,CAUCA,PUERTO TEJADA,Jueves,3:00:00,LA ESPERANZA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,19573000,,1
1/1/2015,CAUCA,ROSAS,Jueves,9:15:00,Centro,URBANA,ESCENARIOS DEPORTIVOS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,SECUNDARIA,19622000,,1
1/1/2015,CAUCA,SANTANDER DE QUILICHAO,Jueves,10:00:00,LIMONAR,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,19698000,,1
1/1/2015,CESAR,VALLEDUPAR (CT),Jueves,14:11:00,FUNDADORES,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA DE FUEGO,A PIE,A PIE,31,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,20001000,,1
1/1/2015,CESAR,VALLEDUPAR (CT),Jueves,17:33:00,NUEVO MILENIO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,20001000,,1
1/1/2015,CHOCÓ,LLORÓ,Jueves,23:45:00,Nuevo Lloró,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,58,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,27413000,,1
1/1/2015,CHOCÓ,QUIBDÓ (CT),Jueves,18:41:00,OBRERO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,31,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,27001000,,1
1/1/2015,CHOCÓ,TADÓ,Jueves,9:00:00,POPULAR,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,34,MASCULINO,CASADO,COLOMBIA,EMPLEADO POLICIAL,POLICIAS,TECNICO,27787000,,1
1/1/2015,CÓRDOBA,BUENAVISTA,Jueves,14:30:00,EL CENTRO,RURAL,CLINICAS Y SIMILARES,CONTUNDENTES,A PIE,A PIE,24,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,23079000,,1
1/1/2015,CÓRDOBA,PUERTO ESCONDIDO,Jueves,18:40:00,VEREDA MOLINO ROJO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,-,SECUNDARIA,23574000,,1
1/1/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,18:00:00,LA FISCALA E-5,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,39,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,,1
1/1/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,15:00:00,POTOSI E-19,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,,1
1/1/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,3:00:00,MILLÁN LOS SAUCES E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,11001000,,1
1/1/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,21:40:00,SALITRE E-11,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA DE FUEGO,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,,1
1/1/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,1:30:00,ÁLVARO BERNAL SEGURA E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,25,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,11001000,,1
1/1/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,9:30:00,SANTA RITA E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,39,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,,1
1/1/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,21:50:00,LISBOA E-11,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,,1
1/1/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,9:50:00,EL RECUERDO SUR E-19,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,11001000,,1
1/1/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,9:50:00,LAS COLINAS E-18,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,,1
1/1/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,1:45:00,PRADO VERANIEGO E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,11001000,,1
1/1/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,11:15:00,LA PENINSULA E-4,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,11001000,,1
1/1/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,4:27:00,URB. LAS LOMAS E-18,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,15,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,11001000,,1
1/1/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,17:53:00,LA ESTRELLA SECTOR LAGOS E-19,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,,1
1/1/2015,CUNDINAMARCA,SOACHA,Jueves,11:00:00,COMPARTIR,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,30,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,25754000,,1
1/1/2015,CUNDINAMARCA,SOACHA,Jueves,9:30:00,ALTOS DE FLORIDA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,25,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,25754000,,1
1/1/2015,CUNDINAMARCA,ZIPAQUIRÁ,Jueves,3:40:00,SAN JUANITO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,25899000,,1
1/1/2015,HUILA,ISNOS,Jueves,21:20:00,VEREDA EL JARDIN,RURAL,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,CONDUCTOR VEHICULO,A PIE,43,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,41359000,,1
1/1/2015,HUILA,LA PLATA,Jueves,16:30:00,VEREDA BELEN,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,28,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,41396000,,1
1/1/2015,HUILA,PITALITO,Jueves,2:40:00,SAN ANTONIO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,27,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,41551000,,1
1/1/2015,HUILA,TARQUI,Jueves,6:00:00,VEREDA SAN FRANCISCO,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,-,PRIMARIA,41791000,,1
1/1/2015,HUILA,TESALIA,Jueves,1:23:00,CENTRO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,41797000,,1
1/1/2015,MAGDALENA,SALAMINA,Jueves,3:00:00,NUEVA ESPERANZA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,39,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,47675000,,1
1/1/2015,META,ACACÍAS,Jueves,4:45:00,LAS COLINAS,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,50006000,,1
1/1/2015,META,SAN JUAN DE ARAMA,Jueves,6:15:00,CENTRO,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,50683000,,1
1/1/2015,META,VILLAVICENCIO (CT),Jueves,19:20:00,LA SALLE,URBANA,DENTRO DE LA VIVIENDA,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,50001000,,1
1/1/2015,META,VILLAVICENCIO (CT),Jueves,7:15:00,CHAPINERITO BAJO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,28,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,50001000,,1
1/1/2015,META,VISTAHERMOSA,Jueves,1:15:00,CENTRO,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,36,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,50711000,,1
1/1/2015,NARIÑO,COLÓN,Jueves,22:30:00,CGTO VILLA NUEVA,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,UNION LIBRE,COLOMBIA,COMERCIANTE,-,PRIMARIA,52203000,,1
1/1/2015,NARIÑO,CÓRDOBA,Jueves,2:50:00,CGTO SANTANDER,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,36,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,52215000,,1
1/1/2015,NARIÑO,GUAITARILLA,Jueves,16:00:00,VEREDA AHUMADA CHIQUITA,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,26,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,PRIMARIA,52320000,,1
1/1/2015,NARIÑO,ILES,Jueves,9:25:00,EL CENTRO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,PRIMARIA,52352000,,1
1/1/2015,NARIÑO,IMUÉS,Jueves,6:00:00,VEREDA SAN ISIDRO,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,-,PRIMARIA,52354000,,1
1/1/2015,NARIÑO,IPIALES,Jueves,3:15:00,CENTRO,URBANA,PARQUES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,52356000,,1
1/1/2015,NARIÑO,LA FLORIDA,Jueves,3:00:00,CGTO TUNJA GRANDE,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,57,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,-,PRIMARIA,52381000,,1
1/1/2015,NARIÑO,SAN ANDRES DE TUMACO,Jueves,8:40:00,PANAMA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,52835000,,1
1/1/2015,PUTUMAYO,VALLE DEL GUAMUEZ,Jueves,8:11:00,EL EDEN,URBANA,TERMINAL DE TRANSPORTES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,28,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,86865000,,1
1/1/2015,PUTUMAYO,VILLAGARZÓN,Jueves,8:30:00,EL PROGRESO,URBANA,PLAZAS DE MERCADO,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,86885000,,1
1/1/2015,RISARALDA,PUEBLO RICO,Jueves,6:00:00,VEREDA EL DIAMANTE,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,55,MASCULINO,CASADO,COLOMBIA,ETNIA INDIGENA,LICENCIADO,SUPERIOR,66572000,,1
1/1/2015,SANTANDER,BARRANCABERMEJA,Jueves,20:00:00,LAS PARRILLAS,RURAL,DISCOTECAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,68081000,,1
1/1/2015,SANTANDER,BARRANCABERMEJA,Jueves,5:30:00,LOS CORALES,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,43,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,68081000,,1
1/1/2015,SANTANDER,BUCARAMANGA (CT),Jueves,2:00:00,URB. ESTORAQUES I,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,68001000,,1
1/1/2015,SANTANDER,BUCARAMANGA (CT),Jueves,6:10:00,KENNEDY,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,28,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,68001000,,1
1/1/2015,SUCRE,MAJAGUAL,Jueves,1:00:00,CGTO. SAN ROQUE,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,67,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,70429000,,1
1/1/2015,TOLIMA,AMBALEMA,Jueves,20:00:00,VRDA. PLAYA VERDE,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,46,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,73030000,,1
